occupational status,marital status , What is the highest grade or level of schooling you completed? ,6. 你是不是在美國出生？  Were you born in the United States? ,7. 你在哪一年來到美國居住？   In what year did you come to live in the United States? ,8. 你的英文說得多好？  How well do you speak English? ,9. 你來自哪裡？（中國的城市名或Other國家名）  Where are you from? (Chinese city name or other country name)  ,10. 你現在的家庭住址的郵政編碼是多少？    What is the zip code of your current household? ,household_income
Housewife,Married,Primary School,No,1999,Not Good,Fu jian,60616,"$15,000 至 $19,999"
Housewife,Married,Primary School,No,1999,Very Bad,xi jian,60616,"$15,000 至 $19,999"
Working,Single Never Married,High School,No,2000,Not Good,Shanghai ,60616,"$15,000 至 $19,999"
Other,Single Never Married,High School,No,2003,Not Good,Taishan,60616,"$20,000 至 $34,999"
Working,Married,High School,No,1990,Good,taishan,60609,"$35,000 至 $49,999"
Unemployed,Married,University Graduate,No,2015,Not Good,Guang Zhou ,60616,"$10,000 至 $14,999"
Working,Married,High School,No,2008,Not Good,jiangmen,60616,"$20,000 至 $34,999"
Working,Married,Primary School,No,1984,Good,Hong Kong,60616,"$15,000 至 $19,999"
Working,Married,Vocational or technical school after high school,No,2006,,Shenyang,60616,"$20,000 至 $34,999"
Working,Married,High School,No,1995,Not Good,Guangdong ,60608,"$20,000 至 $34,999"
Unemployed,Married,High School,No,1985,Not Good,Gong Zhou,60616,"$10,000 至 $14,999"
Working,Married,Attended college but did not graduate,No,2015,Very Bad,Ji nan,60616,"$10,000 至 $14,999"
Unemployed,Married,Junior High,No,2014,Very Bad,Guangzhou ,60616,"<em>$0 至 $9,999"
Working,Divorced,Junior High,No,2011,Not Good,Taishan,60616,"$10,000 至 $14,999"
Unemployed,Married,Junior High,No,2002,Very Bad,Guangdong ,60616,"$10,000 至 $14,999"
Student,Married,Vocational or technical school after high school,No,2014,Not Good,Guongdong,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2005,Not Good,Guangdong ,60609,"$20,000 至 $34,999"
Unemployed,Married,Junior High,No,1997,Very Bad,Guangdong ,60616,"$35,000 至 $49,999"
Working,Married,Primary School,No,2007,Very Bad,Guangdong ,60608,"$15,000 至 $19,999"
Retired,Married,Junior High,No,1985,Very Bad,shanghai,60609,"$10,000 至 $14,999"
Housewife,Married,High School,No,2008,Not Good,Shan dong,60616,"$15,000 至 $19,999"
Working,Married,High School,No,1985,Not Good,Guangzhou,60616,"$35,000 至 $49,999"
Retired,Divorced,Junior High,No,1994,Very Bad,Guangdong ,60616,"$35,000 至 $49,999"
Housewife,Married,I have no education,No,2001,Not Good,Fuzhou,60616,"$20,000 至 $34,999"
Working,Refuse to Answer</em>,University Graduate,No,2000,Good,Vietnam,60607,"$35,000 至 $49,999"
Working,Divorced,Junior High,No,1994,Not Good,Guangdong ,60616,"$10,000 至 $14,999"
Retired,Married,University Graduate,No,1993,,Shanghai ,60632,"$10,000 至 $14,999"
Working,Widowed,High School,No,1995,Not Good,guangzhou,60632,"$10,000 至 $14,999"
Unemployed,Divorced,High School,<em>Yes（轉至Q10）,,,,60616,"<em>$0 至 $9,999"
Unemployed,Married,Junior High,No,1996,Very Bad,Guangdong ,60616,"$15,000 至 $19,999"
Housewife,Married,Junior High,No,1999,Not Good,FuKin,60616,"$50,000 至 $74,999"
Retired,Married,Primary School,No,2004,Very Bad,Hong kong,60616,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2002,Not Good,Fijian ,60616,"$20,000 至 $34,999"
Housewife,Married,I have no education,,,,,60632,"$15,000 至 $19,999"
Working,Married,University Graduate,No,2003,Not Good,Guangdong ,60616,"$20,000 至 $34,999"
Working,Married,University Graduate,No,2010,Not Good,Guongzhou,60616,"$20,000 至 $34,999"
Retired,Married,Primary School,No,1995,Very Bad,Hongkong ,60616,"<em>$0 至 $9,999"
Working,Married,Primary School,<em>Yes（轉至Q10）,,,,60616,"$15,000 至 $19,999"
Working,Married,High School,No,1979,Not Good,taishan,60616,"$20,000 至 $34,999"
Working,Married,Junior High,No,2007,Not Good,Guangdong ,60632,"$10,000 至 $14,999"
Working,Married,High School,No,2011,Not Good,Shen yang,60608,"$20,000 至 $34,999"
Working,Married,High School,No,1998,Very Bad,Guangdong ,60608,"$15,000 至 $19,999"
Retired,Widowed,High School,No,1994,Very Bad,Toishan,60616,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2005,Very Bad,Guangdong ,60608,"$20,000 至 $34,999"
Housewife,Married,Junior High,<em>Yes（轉至Q10）,,,,60616,"<em>$0 至 $9,999"
Retired,Widowed,Primary School,No,1999,Not Good,Taisan,60616,"$20,000 至 $34,999"
Retired,Widowed,Primary School,No,1999,Very Bad,Taisan,60616,"$20,000 至 $34,999"
Working,Married,Junior High,No,1987,Not Good,"Taishan ,Guangdong",60609,"$20,000 至 $34,999"
Working,Married,High School,No,2004,Not Good,Taishan,60616,"$20,000 至 $34,999"
Working,Married,High School,No,2002,Very Bad,Taishan,60609,"$20,000 至 $34,999"
Working,Married,Junior High,No,2010,Very Bad,Taishan,60616,"<em>$0 至 $9,999"
Working,Widowed,High School,No,2000,Not Good,Hong kong,60616,"$10,000 至 $14,999"
Working,Divorced,High School,No,2011,Very Bad,Henan,60616,"$20,000 至 $34,999"
Working,Married,Junior High,No,2010,Very Bad,Taishan,60616,"$10,000 至 $14,999"
Working,Married,High School,No,2000,Good,Tashian,60616,"$35,000 至 $49,999"
Working,Married,High School,No,2000,Good,Taishan,60616,"$35,000 至 $49,999"
Working,Married,High School,No,2003,Not Good,Toishanese ,60608,"$35,000 至 $49,999"
Working,Married,Junior High,No,2007,Very Bad,Taishan,60616,"$20,000 至 $34,999"
Unemployed,Single Never Married,Attended college but did not graduate,No,2007,Not Good,Taishan,60616,"$20,000 至 $34,999"
Working,Single Never Married,University Graduate,No,2006,Not Good,Dongbei,60616,"$15,000 至 $19,999"
Retired,Widowed,Attended college but did not graduate,No,1981,Very Bad,Taishan,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2012,Very Bad,Guangdong ,60616,"<em>$0 至 $9,999"
Working,Married,Vocational or technical school after high school,No,1996,Very Bad, 上海,60609,"<em>$0 至 $9,999"
Unemployed,Divorced,Junior High,No,1987,Not Good,,60616,"<em>$0 至 $9,999"
Working,Married,Primary School,No,guangdon,Very Bad,guangdon ,60616,"<em>$0 至 $9,999"
Retired,Married,Junior High,No,1996,Not Good,Taishan,60616,Do Not Know
Retired,Married,Primary School,No,1983,Not Good,Taishan,60632,"$10,000 至 $14,999"
Working,Married,Primary School,No,1999,Not Good,fu zhao,60609,"$15,000 至 $19,999"
Unemployed,Married,Junior High,No,2015,Very Bad,Lingni,60609,"<em>$0 至 $9,999"
Working,Married,Vocational or technical school after high school,No,2013,Very Bad,Liaoning,60632,"<em>$0 至 $9,999"
Housewife,Married,University Graduate,No,2015,Not Good,Shanghai ,60608,Do Not Know
Working,Married,High School,No,2001,Not Good,Shangyang,60609,"$20,000 至 $34,999"
Retired,Widowed,Junior High,No,2016,Very Bad,Guangdon ,60609,"$20,000 至 $34,999"
Working,Married,High School,No,2014,Not Good,Wulam,60616,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2010,Not Good,He nan,60608,"$20,000 至 $34,999"
Housewife,Married,High School,No,1996,Not Good,Beijing ,60632,"<em>$0 至 $9,999"
Working,Single Never Married,University Graduate,No,2008,Good,Taishan,60616,"$20,000 至 $34,999"
Housewife,Married,Primary School,No,2016,Very Bad,Fughao ,60609,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2002,Not Good,Fujian,60609,"$35,000 至 $49,999"
Unemployed,Married,High School,No,2016,Not Good,Guangxi,60616,"<em>$0 至 $9,999"
Working,Single Never Married,Vocational or technical school after high school,No,2005,Not Good,Sun yang,60616,"$15,000 至 $19,999"
Working,Married,Vocational or technical school after high school,No,2006,Not Good,Shenyang,60616,"$10,000 至 $14,999"
Working,Widowed,University Graduate,No,1998,Good,Taishan,60632,"$20,000 至 $34,999"
Working,Married,Junior High,No,2004,Not Good,Guangdong,60632,"$20,000 至 $34,999"
Housewife,Married,Junior High,No,1984,Good,Tashi ,60616,"$20,000 至 $34,999"
Working,Married,High School,No,2016,Very Bad,Tashi ,60616,"$10,000 至 $14,999"
Working,Married,Primary School,No,2011,Very Bad,Guangdon ,60616,"$10,000 至 $14,999"
Working,Widowed,High School,No,2004,Not Good,Guangdon ,60632,"$35,000 至 $49,999"
Working,Married,Junior High,No,2014,Very Bad,Taishan,60616,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2011,Very Bad,Taishan,60608,"$20,000 至 $34,999"
Working,Married,Junior High,No,1994,Not Good,Guangdong,60608,"$15,000 至 $19,999"
Working,Married,Junior High,No,1998,Not Good,Taishan,60616,"$20,000 至 $34,999"
Housewife,Married,Junior High,No,2000,Good,Hk,60616,Do Not Know
Working,Divorced,Junior High,No,2014,Not Good,Fulan,60616,"$10,000 至 $14,999"
Retired,Married,Primary School,No,1993,Very Bad,Guangdong ,60616,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2003,Very Bad,Gongxhou,60632,"$15,000 至 $19,999"
Working,Married,Junior High,No,2002,Very Bad,Guangdong,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,2010,Not Good,Taishan,60632,"$10,000 至 $14,999"
Working,Separated,Primary School,No,1994,Very Bad,Guangdon ,60609,"$15,000 至 $19,999"
Retired,Married,Junior High,No,1997,Not Good,Taishan,60616,"<em>$0 至 $9,999"
Unemployed,Separated,Junior High,No,1997,Not Good,Taishan,60616,Do Not Know
Working,Married,Junior High,No,2015,Very Bad,Taishan,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,2009,Not Good,Guangdon ,60616,"$10,000 至 $14,999"
Retired,Cohabit,High School,No,1996,Very Bad,Taishan,60616,"<em>$0 至 $9,999"
Retired,Married,High School,No,1999,Not Good,Huiben,60609,"$15,000 至 $19,999"
Working,Married,Vocational or technical school after high school,No,1997,Good,Guangdon ,60616,"$20,000 至 $34,999"
Working,Married,Junior High,No,2010,Very Bad,Guangzhou,60632,"$15,000 至 $19,999"
Unemployed,Married,Primary School,No,2011,Not Good,Taishan,60616,"<em>$0 至 $9,999"
Unemployed,Divorced,Junior High,No,2015,Very Bad,Shengyang,60616,"$10,000 至 $14,999"
Working,Married,University Graduate,No,1998,Not Good,Ha long jirong,60632,"$15,000 至 $19,999"
Working,Married,Primary School,No,2007,Very Bad,Gaungzhou,60608,"$15,000 至 $19,999"
Retired,Married,High School,No,1986,Not Good,Hong Kong ,60632,"<em>$0 至 $9,999"
Working,Married,High School,No,1995,Not Good,Guangdong ,60608,"$20,000 至 $34,999"
Working,Married,Junior High,No,2015,Very Bad,Shangyang,60616,"<em>$0 至 $9,999"
Retired,Married,Primary School,No,1997,Very Bad,Guangdong,60608,"$15,000 至 $19,999"
Working,Married,Junior High,No,1992,Not Good,Hk,60632,"$20,000 至 $34,999"
Working,Widowed,Primary School,No,2006,Very Bad,Taishan,60609,"$20,000 至 $34,999"
Working,Married,High School,No,2011,Not Good,Guangdong ,60609,"$15,000 至 $19,999"
Retired,Married,High School,No,2009,Very Bad,Taishan,60608,"$10,000 至 $14,999"
Retired,Married,Junior High,No,2013,Not Good,Taishan,60608,"$10,000 至 $14,999"
Retired,Divorced,I have no education,No,2001,Very Bad,Guhui,60632,"<em>$0 至 $9,999"
Working,Widowed,Junior High,No,2004,Not Good,Guangdon ,60616,"$10,000 至 $14,999"
Retired,Widowed,I have no education,No,1996,Very Bad,Toishan,60616,"<em>$0 至 $9,999"
,Married,High School,No,2005,Not Good,guangdong,60616,"<em>$0 至 $9,999"
Retired,Widowed,Junior High,No,1973,Not Good,Gwongzhou,60616,"<em>$0 至 $9,999"
Working,Married,Vocational or technical school after high school,No,2004,Not Good,Toishan,60609,"$35,000 至 $49,999"
Working,Married,High School,No,2016,Very Bad,Guangdon ,60632,"<em>$0 至 $9,999"
Working,Married,High School,No,1976,Good,Hong Kong,60616,"$75,000 至 $99,999"
Unemployed,Divorced,High School,No,2005,Very Bad,hainan,60616,"<em>$0 至 $9,999"
Working,Married,Vocational or technical school after high school,No,1997,Good,HK,60608,"$15,000 至 $19,999"
Working,Married,Junior High,No,2012,Very Bad,Toishan,60616,"$10,000 至 $14,999"
Working,Married,Vocational or technical school after high school,No,2008,Not Good,Gongzhou,60616,"$15,000 至 $19,999"
Working,Divorced,University Graduate,No,2004,Not Good,Liaoning,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,1993,Very Bad,Taishan,60616,"$15,000 至 $19,999"
Working,Divorced,High School,No,96,Not Good,Guangzhou,60616,"$10,000 至 $14,999"
Working,Widowed,Vocational or technical school after high school,No,1980,Not Good,Hong Kong,60616,"<em>$0 至 $9,999"
Working,Married,High School,No,2011,Very Bad,Guangzhou,60608,"$10,000 至 $14,999"
Working,Married,Primary School,No,2010,Very Bad,Guangzhou,60632,"$10,000 至 $14,999"
Working,Married,Junior High,No,2006,Not Good,Gongzhou,60616,"$10,000 至 $14,999"
Working,Married,High School,No,1982,Not Good,Guongdong,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2006,Not Good,Toishan,60632,"$10,000 至 $14,999"
Working,Married,Junior High,No,6,Very Bad,Kaiping,60632,"$50,000 至 $74,999"
Retired,Married,High School,No,2002,Very Bad,Shanghai,60616,"$10,000 至 $14,999"
Working,Widowed,Junior High,No,2009,Very Bad,Taishan,60616,"<em>$0 至 $9,999"
Working,Married,Vocational or technical school after high school,No,2009,Not Good,gongdong,60616,"$10,000 至 $14,999"
Working,Single Never Married,High School,No,1999,Not Good,Taishan,60616,"$20,000 至 $34,999"
Working,Married,High School,No,2010,Good,Jiang men,60609,"$15,000 至 $19,999"
Retired,Married,Attended college but did not graduate,No,1969,Not Good,Taishan,60616,"$10,000 至 $14,999"
Working,Divorced,Junior High,No,2005,Very Bad,Toishan,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2000,Good,gongdong,60609,"$35,000 至 $49,999"
Working,Married,High School,No,2000,Not Good,Taishan,60616,"$10,000 至 $14,999"
Working,Married,Primary School,No,2010,Very Bad,Toishan,60632,"$15,000 至 $19,999"
Working,Married,High School,No,2001,Not Good,Toishan,60616,"$20,000 至 $34,999"
Housewife,Divorced,Junior High,No,1994,Not Good,Guangzhou,60608,"$10,000 至 $14,999"
Working,Married,High School,No,1984,Very Bad,gongdong,60608,"$20,000 至 $34,999"
Working,Widowed,Primary School,No,1990,Good,Hong Kong,60632,"$15,000 至 $19,999"
Working,Married,High School,No,2004,Very Bad,Kaiping,60608,"$35,000 至 $49,999"
Working,Married,High School,No,2003,Good,Jiang men,60616,"$20,000 至 $34,999"
Working,Married,High School,No,2010,Not Good,Gongdong,60616,"$15,000 至 $19,999"
